index,hot,title,href
1,站长的工作室,头部高中是当地体制内工资的两倍(转载),https://bbs.pku.edu.cn/v2/post-read.php?bid=1&threadid=18659897
2,站长的工作室,河南这个ip何德何能竟然玷污(转载),https://bbs.pku.edu.cn/v2/post-read.php?bid=1&threadid=18660082
3,校园热点,【招募】北京大学乡村振兴研究院招募助研,https://bbs.pku.edu.cn/v2/post-read.php?bid=351&threadid=18659787
4,北京大学图书馆,要能种点桂花树就好了,https://bbs.pku.edu.cn/v2/post-read.php?bid=138&threadid=18659762
5,燕园食宿,没有麦隆后，期待更好的咖啡门店入驻,https://bbs.pku.edu.cn/v2/post-read.php?bid=1431&threadid=18653631
6,医学部,国庆还可以去哪里玩好嘞！,https://bbs.pku.edu.cn/v2/post-read.php?bid=138&threadid=18658525
7,燕园食宿,这校园卡充值是啥活动啊,https://bbs.pku.edu.cn/v2/post-read.php?bid=1431&threadid=18653567
8,清华大学,在互联网大厂怎么样才能卷到p8,https://bbs.pku.edu.cn/v2/post-read.php?bid=104&threadid=18657630
9,塞外风情,想建个内蒙老乡群,https://bbs.pku.edu.cn/v2/post-read.php?bid=610&threadid=16980774
10,皖风皖韵,阜阳老乡有吗？,https://bbs.pku.edu.cn/v2/post-read.php?bid=476&threadid=18120442
11,皖风皖韵,有安徽安庆的老乡吗,https://bbs.pku.edu.cn/v2/post-read.php?bid=476&threadid=18593418
12,英语角,11月4日&5日石家庄考雅思求搭子,https://bbs.pku.edu.cn/v2/post-read.php?bid=56&threadid=18659598
13,天文,APOD231007 仙女大星系过去和未来的恒星,https://bbs.pku.edu.cn/v2/post-read.php?bid=89&threadid=18659902
14,医学与健康,有吃司美格鲁肽减肥成功的友友嘛,https://bbs.pku.edu.cn/v2/post-read.php?bid=244&threadid=18652658
15,医学与健康,请问突发单侧耳鸣且一直持续中有什么自我护理手段吗,https://bbs.pku.edu.cn/v2/post-read.php?bid=244&threadid=18657848
16,苹果爱好者,想在mba外接一个硬盘装parallels desktop,https://bbs.pku.edu.cn/v2/post-read.php?bid=488&threadid=18659953
17,苹果爱好者,从全家桶用户角度谈一谈iPhone15pm,https://bbs.pku.edu.cn/v2/post-read.php?bid=488&threadid=18644095
18,桌面电脑,求问把2080ti和3090装在一起是什么效果,https://bbs.pku.edu.cn/v2/post-read.php?bid=1361&threadid=18658233
19,笔记本电脑,求推荐轻薄办公笔记本,https://bbs.pku.edu.cn/v2/post-read.php?bid=484&threadid=18659894
20,青梅煮酒论英雄,典韦到了南阳……,https://bbs.pku.edu.cn/v2/post-read.php?bid=309&threadid=18659347
21,ID文化,【2023年9月篇】消失的ID痕迹，逝去的数字身影,https://bbs.pku.edu.cn/v2/post-read.php?bid=338&threadid=18659240
22,图片艺术,未名湖孵出的小黑天鹅,https://bbs.pku.edu.cn/v2/post-read.php?bid=441&threadid=18659569
23,流行歌坛,【翻唱】《这世界那么多人》弹唱版,https://bbs.pku.edu.cn/v2/post-read.php?bid=79&threadid=18660015
24,美食天地,【探店经验】怎么给大众点评的评分“挤水分”,https://bbs.pku.edu.cn/v2/post-read.php?bid=90&threadid=18659470
25,明信片,【邮路通报】qingqing 2023 ,https://bbs.pku.edu.cn/v2/post-read.php?bid=1367&threadid=18601521
26,男孩子,关于健身腹肌的请教,https://bbs.pku.edu.cn/v2/post-read.php?bid=52&threadid=18659813
27,别问我是谁,母亲智力残疾+父亲烂赌鬼——王炸组合,https://bbs.pku.edu.cn/v2/post-read.php?bid=414&threadid=18660115
28,灰色心情,刚离完婚，心情差到极点,https://bbs.pku.edu.cn/v2/post-read.php?bid=176&threadid=18643372
29,别问我是谁,该说不说，我真觉得两室一厅不够养娃的,https://bbs.pku.edu.cn/v2/post-read.php?bid=414&threadid=18660121
30,找工作啦,就业小年,https://bbs.pku.edu.cn/v2/post-read.php?bid=99&threadid=18659987
31,兼职信息,37页资料翻译，500元,https://bbs.pku.edu.cn/v2/post-read.php?bid=419&threadid=18650963
32,找工作啦,工行子公司,https://bbs.pku.edu.cn/v2/post-read.php?bid=99&threadid=18659825
33,跳蚤市场,【出】macbook air M1 2020 8+256 ,https://bbs.pku.edu.cn/v2/post-read.php?bid=71&threadid=18659673
34,体育游戏,ERK解约467720 Moukoko F Dortmund,https://bbs.pku.edu.cn/v2/post-read.php?bid=519&threadid=18660137
35,体育游戏,ERK解约Ngoumou M M'gladbach 629588,https://bbs.pku.edu.cn/v2/post-read.php?bid=519&threadid=18660179
36,刷友之家,贵版一年半没人发帖了,https://bbs.pku.edu.cn/v2/post-read.php?bid=137&threadid=18628433
37,篮球公园,Euroleague fantasy Round1 托比真的是个菜逼,https://bbs.pku.edu.cn/v2/post-read.php?bid=88&threadid=18659669
38,北大法律援助协会,跟女朋友分手，被讹了二十万分手费，身心补偿费,https://bbs.pku.edu.cn/v2/post-read.php?bid=301&threadid=18659945
39,手语分社,【芝麻开团】团长刘雅芝，元铭宇前来报道！,https://bbs.pku.edu.cn/v2/post-read.php?bid=696&threadid=18659964
40,手语分社,【初相见】迎新手语班预告,https://bbs.pku.edu.cn/v2/post-read.php?bid=696&threadid=18659190
