index,hot,title,href
1,27511 阅读,全方位解析 C 端和 B 端的产品特性,http://www.inneed.club/articles/detail/4l50oxy079
2,23137 阅读,每天了解一家新公司——快手,http://www.inneed.club/articles/detail/p58g6qyab6
3,25446 阅读,不知道产品分析怎么做？收下这份分析思路,http://www.inneed.club/articles/detail/pkx0ee60ew
4,60372 阅读,头部产品经理的 OPPORTUNITY 素质模型,http://www.inneed.club/articles/detail/85kapd6axj
5,63587 阅读,产品进阶：画原型只是入门，做架构才是进阶,http://www.inneed.club/articles/detail/bvkawnzax3
6,53423 阅读,万字复盘：语音直播产品的从0到1,http://www.inneed.club/articles/detail/e45ax3laxl
7,34753 阅读,你的交互文档好不好？一看便知,http://www.inneed.club/articles/detail/yelajjdabd
8,28253 阅读,写给交互设计新手的信息架构全方位指南,http://www.inneed.club/articles/detail/podgrlogjx
9,27759 阅读,一个哔哩哔哩UP主，40天的运营总结,http://www.inneed.club/articles/detail/k3v0qk90xw
10,33281 阅读,案例：KANO模型分析微信功能,http://www.inneed.club/articles/detail/4ema7blgny
11,30321 阅读,如何从0到1设计产品的商业化策略（以会员产品举例）,http://www.inneed.club/articles/detail/67wg97n0v5
12,30455 阅读,面对竞品分析该如何下手？,http://www.inneed.club/articles/detail/l4e0bxmaxq
