index,hot,title,href
1,,铁路12306,https://itunes.apple.com/cn/app/id564818797?mt=8
2,,豆包 - 抖音旗下 AI 智能助手,https://itunes.apple.com/cn/app/id6459478672?mt=8
3,,中国农业银行,https://itunes.apple.com/cn/app/id515651240?mt=8
4,,京东-多·快·好·省,https://itunes.apple.com/cn/app/id414245413?mt=8
5,,夸克-AI搜索升级,https://itunes.apple.com/cn/app/id1160172628?mt=8
6,,红果短剧-海量热门短剧随心看,https://itunes.apple.com/cn/app/id6451407032?mt=8
7,,小红书 – 你的生活指南,https://itunes.apple.com/cn/app/id741292507?mt=8
8,,拼多多 - 多多买菜，百亿补贴,https://itunes.apple.com/cn/app/id1044283059?mt=8
9,,番茄小说 - 热门全本小说电子书阅读器,https://itunes.apple.com/cn/app/id1468454200?mt=8
10,,快手,https://itunes.apple.com/cn/app/id440948110?mt=8
11,导航,"高德地图-高德打车,导航公交地铁出行",https://itunes.apple.com/cn/app/id461703208?mt=8
12,娱乐,抖音精选-抖音旗下优质视频平台,https://itunes.apple.com/cn/app/id6444170965?mt=8
13,生活,交管12123,https://itunes.apple.com/cn/app/id1039727169?mt=8
14,摄影与录像,GigaBody: AI Muscle filter,https://itunes.apple.com/cn/app/id6504295368?mt=8
15,生活,美团-美好生活小帮手,https://itunes.apple.com/cn/app/id423084029?mt=8
16,美食佳饮,饿了么-外卖放心点，美食准时达,https://itunes.apple.com/cn/app/id507161324?mt=8
17,旅游,去哪儿旅行-订机票酒店火车票门票，出行租车,https://itunes.apple.com/cn/app/id395096736?mt=8
18,娱乐,抖音,https://itunes.apple.com/cn/app/id1142110895?mt=8
19,工具,中国移动（手机营业厅）,https://itunes.apple.com/cn/app/id583700738?mt=8
20,购物,闲鱼 - 闲不住？上闲鱼！,https://itunes.apple.com/cn/app/id510909506?mt=8
21,音乐,汽水音乐 - 抖音音乐版,https://itunes.apple.com/cn/app/id1605585211?mt=8
22,商务,企业微信,https://itunes.apple.com/cn/app/id1087897068?mt=8
23,生活,支付宝-便捷生活，一点就好,https://itunes.apple.com/cn/app/id333206289?mt=8
24,购物,阿里巴巴(1688)-货源批发采购进货市场,https://itunes.apple.com/cn/app/id507097717?mt=8
25,摄影与录像,剪映,https://itunes.apple.com/cn/app/id1458072671?mt=8
26,生活,大众点评-美食旅游攻略逛吃必备,https://itunes.apple.com/cn/app/id351091731?mt=8
27,社交,微信,https://itunes.apple.com/cn/app/id414478124?mt=8
28,社交,QQ,https://itunes.apple.com/cn/app/id444934666?mt=8
29,旅游,携程旅行-订酒店机票火车票,https://itunes.apple.com/cn/app/id379395415?mt=8
30,娱乐,抖音极速版,https://itunes.apple.com/cn/app/id1477031443?mt=8
31,财务,中国工商银行,https://itunes.apple.com/cn/app/id423514795?mt=8
32,购物,淘宝 - 太好逛了吧,https://itunes.apple.com/cn/app/id387682726?mt=8
33,财务,中国建设银行,https://itunes.apple.com/cn/app/id391965015?mt=8
34,体育,得物 - 得到运动x潮流x好物,https://itunes.apple.com/cn/app/id1012871328?mt=8
35,图书,番茄畅听-海量小说音乐评书全场畅听,https://itunes.apple.com/cn/app/id1508443800?mt=8
36,娱乐,大麦 - 演出、体育购票平台,https://itunes.apple.com/cn/app/id513829338?mt=8
37,效率,百度网盘,https://itunes.apple.com/cn/app/id547166701?mt=8
38,旅游,"同程旅行-订酒店机票火车票,低价打车",https://itunes.apple.com/cn/app/id475966832?mt=8
39,工具,悟空浏览器-看海量小说影视,https://itunes.apple.com/cn/app/id6473782436?mt=8
40,音乐,网易云音乐-畅听我们的歌,https://itunes.apple.com/cn/app/id590338362?mt=8
41,工具,百度,https://itunes.apple.com/cn/app/id382201985?mt=8
42,娱乐,哔哩哔哩-弹幕番剧直播高清视频,https://itunes.apple.com/cn/app/id736536022?mt=8
43,社交,微博,https://itunes.apple.com/cn/app/id350962117?mt=8
44,图书,七猫小说-看小说电子书的阅读神器,https://itunes.apple.com/cn/app/id1387717110?mt=8
45,摄影与录像,醒图,https://itunes.apple.com/cn/app/id1500526240?mt=8
46,购物,转转-二手官方验,https://itunes.apple.com/cn/app/id1002355194?mt=8
47,商务,BOSS直聘-招聘求职找工作神器,https://itunes.apple.com/cn/app/id887314963?mt=8
48,商务,钉钉,https://itunes.apple.com/cn/app/id930368978?mt=8
49,财务,中国银行,https://itunes.apple.com/cn/app/id399608199?mt=8
50,工具,QQ邮箱,https://itunes.apple.com/cn/app/id473225145?mt=8
51,娱乐,爱奇艺-《小夫妻》独播,https://itunes.apple.com/cn/app/id393765873?mt=8
52,摄影与录像,美图秀秀,https://itunes.apple.com/cn/app/id416048305?mt=8
53,音乐,QQ音乐 - 听我想听,https://itunes.apple.com/cn/app/id414603431?mt=8
54,工具,UC浏览器-小说短视频抢先看,https://itunes.apple.com/cn/app/id586871187?mt=8
55,商务,腾讯会议-多人实时视频会议软件,https://itunes.apple.com/cn/app/id1484048379?mt=8
56,旅游,滴滴出行 - 打车骑车顺风车火车票租车代驾送货,https://itunes.apple.com/cn/app/id554499054?mt=8
57,摄影与录像,美颜相机,https://itunes.apple.com/cn/app/id592331499?mt=8
58,摄影与录像,快手极速版,https://itunes.apple.com/cn/app/id1472502819?mt=8
